ADDRESSID,CITY,POSTALCODE,STREET,BUILDING,COUNTRY,REGION,ADDRESSTYPE,VALIDITY.STARTDATE,VALIDITY.ENDDATE,LATITUDE,LONGITUDE
1000000001,München,85399,Zeppelinstraße,2,DE,EMEA,02,2000-01-01,9999-12-31,48.1938734000,11.562391391838
1000000002,Antioch1 Illinois,60002,Tiffany Road,54,US,AMER,01,2000-01-01,9999-12-31,42.4677883,-88.09862409999999
1000000003,San Francisco,94101,Summerset Street,6,US,AMER,01,2000-01-01,9999-12-31,37.7235468,-122.4063031
1000000004,San Francisco,94101,Risel Avenue,35,US,AMER,01,2000-01-01,9999-12-31,37.7064938,-122.4488648
1000000005,San Francisco,94101,Winding Way,8,US,AMER,01,2000-01-01,9999-12-31,37.7094371,-122.4352474
1000000006,New York,10011,11th Avenue,17,US,AMER,01,2000-01-01,9999-12-31,40.7439059,-74.0086151
1000000007,San Francisco,94101,San Fernando Way,10,US,AMER,01,2000-01-01,9999-12-31,37.733221,-122.4695642
1000000008,Antioch Illinois,60002,7th Avenue,32,US,AMER,01,2000-01-01,9999-12-31,42.4759886999999,-88.1312672
1000000009,New York,10011,57th Avenue,19,US,AMER,01,2000-01-01,9999-12-31,40.7602538,-73.9675441
1000000010,Antioch Illinois,60002,Fillmore Street,59,US,AMER,01,2000-01-01,9999-12-31,42.4772418,-88.0956396
1000000011,London,EC1Y8SY,Castle Lane,25,GB,EMEA,01,2000-01-01,9999-12-31,51.508515,-0.1254872
1000000012,London,EC1Y8SY,Wilton Road,24,GB,EMEA,01,2000-01-01,9999-12-31,51.4931204,-0.1411505
1000000013,London,EC1Y8SY,Flood Street,18,GB,EMEA,01,2000-01-01,9999-12-31,51.4862153,-0.1653848
1000000014,Berlin,10001,Drosselweg,28,DE,EMEA,01,2000-01-01,9999-12-31,52.4602307,13.2859039
1000000015,San Francisco,94101,Queens Boulevard,15,US,AMER,01,2000-01-01,9999-12-31,37.7700849,-122.2805739
1000000016,London,EC1Y 8SY,Claredon Street,38,GB,EMEA,01,2000-01-01,9999-12-31,51.48987229999999,-0.1439026
1000000017,Berlin,14129,Eiderstedterweg,22,DE,EMEA,01,2000-01-01,9999-12-31,52.4349711,13.2195962
1000000018,Berlin,10001,Waldhüterpfad,23,DE,EMEA,01,2000-01-01,9999-12-31,52.44745409999999,13.2544007
1000000019,San Francisco,94101,Silver Avenue,16,US,AMER,01,2000-01-01,9999-12-31,37.7298955,-122.4132939
1000000020,San Francisco,94101,Panorama Drive,22,US,AMER,01,2000-01-01,9999-12-31,37.751236,-122.452133
1000000021,Berlin,10001,Motzstraße,33,DE,EMEA,01,2000-01-01,9999-12-31,52.4963326,13.3436826
1000000022,London,EC1Y8SY,Chester Street,27,GB,EMEA,01,2000-01-01,9999-12-31,51.4992802,-0.150112
1000000023,New York,10011,21th Street,31,US,AMER,01,2000-01-01,9999-12-31,40.744009,-73.999422
1000000024,New York,10011,Lexington Avenue,29,US,AMER,01,2000-01-01,9999-12-31,40.755562,-73.9730533
1000000025,New York,10011,387th Street,30,US,AMER,01,2000-01-01,9999-12-31,40.754707,-73.991632999999
1000000026,Antioch Illinois,60002,Grand Avenue,99,US,AMER,01,2000-01-01,9999-12-31,42.4554625,-88.1256739
1000000027,New York,10011,Bleecker Street,32,US,AMER,01,2000-01-01,9999-12-31,40.7285957,-74.00008149999999
1000000028,San Francisco,94101,Fernwood Avenue,44,US,AMER,01,2000-01-01,9999-12-31,37.6896959,-122.4951423
1000000029,London,EC1Y8SY,Paradise Walk,26,GB,EMEA,01,2000-01-01,9999-12-31,51.4852663,-0.1609982
1000000030,London,EC1Y8SY,Warwick Square,35,GB,EMEA,01,2000-01-01,9999-12-31,51.4908721,-0.1416282
1000000031,New York,10011,Park Avenue,43,US,AMER,01,2000-01-01,9999-12-31,40.8002439,-73.94237099999999
1000000032,Paris La D‚fense Cedex,92309,Rue de l'Oasis,66,FR,EMEA,01,2000-01-01,9999-12-31,48.856614,2.3522219
1000000033,Berlin,10001,Waldhüterpfad,34,DE,EMEA,01,2000-01-01,9999-12-31,52.44745409999999,13.2544007
1000000034,Walldorf,69190,Dietmar-Hopp-Allee,15,DE,EMEA,02,2000-01-01,9999-12-31,49.29367360,8.641701933686
1000000035,Berlin,13467,Calvinstraße,36,DE,EMEA,02,2000-01-01,9999-12-31,52.61291430,13.29768390
1000000036,Wilmington Delaware,19899,1 2345 King Street,01,US,AMER,2,2000-01-01,9999-12-31,39.74594680,-75.5465890
1000000037,Hannover,30625,An der Breiten Wiese,422,DE,EMEA,02,2000-01-01,9999-12-31,52.382990802599,9.823618171812
1000000038,Hollywood California,91602,Morning Drive,178,US,AMER,02,2000-01-01,9999-12-31,34.136429050,-118.352803603805
1000000039,Muenster,48155,Albersloher Weg,24,DE,EMEA,02,2000-01-01,9999-12-31,51.94008180,7.65173130
1000000040,Tokyo,1000004,1-7-2 Ohtemachi,1,JP,APJ,02,2000-01-01,9999-12-31,35.6933474500,139.763682287452
1000000041,Paris,75015,Rue de la Republique 863,1,FR,EMEA,02,2000-01-01,9999-12-31,48.856505600000,2.352133400000
1000000042,Mexiko City,17000,Bosque de Duraznos,24,MX,AMER,02,2000-01-01,9999-12-31,19.4325301000,-99.1332102000
1000000043,Buenos Aires,1511,Av. Libertador,12221,AR,AMER,02,2000-01-01,9999-12-31,-34.864871900,-58.57394780
1000000044,Atlanta Georgia,30338,Dunwoody Xing,3000,US,AMER,02,2000-01-01,9999-12-31,33.7490987000,-84.3901849000
1000000045,Salzburg,5010,Arnold Schwarzenegger Weg,54,AT,EMEA,02,2000-01-01,9999-12-31,47.8034142000,13.0286522000
1000000046,Manchester,M4 8RE,Kelley Street,97,GB,EMEA,02,2000-01-01,9999-12-31,51.60504030,-2.6275069000
1000000047,Bremen,28213,Theodor Heuss Allee,43,DE,EMEA,02,2000-01-01,9999-12-31,53.0846646000,8.81548550000
1000000048,Bismarck North Dakota,58501,Franklin Ave,153,US,AMER,02,2000-01-01,9999-12-31,46.839540000,-100.7359400
1000000049,Quebec,J0L 1T0,Rue Sault Au Matelot,65,CA,AMER,02,2000-01-01,9999-12-31,46.8147960000,-71.203329100
1000000050,Puebla,40615,Av. Hermanos Serdan,366,MX,AMER,02,2000-01-01,9999-12-31,19.0773571000,-98.227681100
1000000051,Köln,50827,Robert Koch Straße,14,DE,EMEA,02,2000-01-01,9999-12-31,50.923705400,6.923813100000
1000000052,Mendoza,M5500,Avenida De Julio,53,AR,AMER,02,2000-01-01,9999-12-31,-32.8896488000,-68.8448363000
1000000053,Lyon,69007,Quai de Pierre Scize,81,FR,EMEA,02,2000-01-01,9999-12-31,45.7575958000,4.832323900
1000000054,Moskau,125719,Elektrosawodskaja,354,RU,EMEA,02,2000-01-01,9999-12-31,55.7516147000,37.6187012000
1000000055,Jacksonville Florida,32229,Marshall Street,77,US,AMER,02,2000-01-01,9999-12-31,30.3315440000,-81.6341140000
1000000056,Madrid,17000,Calle Aldama,137,ES,EMEA,02,2000-01-01,9999-12-31,40.5410717000,-3.6335855000
1000000057,München,80935,Albert Schweitzer Straße,16,DE,EMEA,02,2000-01-01,9999-12-31,48.1938734000,11.562391391838
1000000058,Sapporo,608611,Narashino-Shi,51,JP,APJ,02,2000-01-01,9999-12-31,43.06204810000,141.3544569000
1000000059,Rom,185,Via San Martino della Battaglia,63,IT,EMEA,02,2000-01-01,9999-12-31,41.9053125000,12.5040235000
1000000060,Paris,75013,Rue Lourmel,42,FR,EMEA,02,2000-01-01,9999-12-31,48.8565056000,2.352133400
1000000061,Santa Fe,1510,de Enero,85,AR,AMER,02,2000-01-01,9999-12-31,-31.618455300000,-60.7029753000
1000000062,Rio de Janeiro,20230,Rua do Passeio,7,BR,AMER,02,2000-01-01,9999-12-31,-22.9117983000,-43.1756308000
